pgsc_dmp	logFC	dir
PGSC0003DMP400000002	-0.0566207842969863	0
PGSC0003DMP400000003	-0.0566207842969863	0
PGSC0003DMP400000001	-0.0566207842969863	0
PGSC0003DMP400000005	1.416761152275	0
PGSC0003DMP400000004	1.416761152275	0
PGSC0003DMP400000009	-0.209388659889589	0
PGSC0003DMP400000010	-0.136718666046057	0
PGSC0003DMP400000013	0.0372344502287768	0
PGSC0003DMP400000012	0.0372344502287768	0
PGSC0003DMP400000011	0.0372344502287768	0
PGSC0003DMP400000025	0.266532316739271	0
PGSC0003DMP400000026	0.266532316739271	0
PGSC0003DMP400000028	0.266532316739271	0
PGSC0003DMP400000027	0.266532316739271	0
PGSC0003DMP400000029	0.0274809610072698	0
PGSC0003DMP400000033	-0.04003765285579	0
PGSC0003DMP400000032	-0.04003765285579	0
PGSC0003DMP400000038	-0.069010152464739	0
PGSC0003DMP400000039	-1.39778851199398	0
PGSC0003DMP400000043	-0.129408730713937	0
PGSC0003DMP400000040	-0.129408730713937	0
PGSC0003DMP400000042	-0.129408730713937	0
PGSC0003DMP400000041	-0.129408730713937	0
PGSC0003DMP400000044	-1.15854747604023	0
PGSC0003DMP400000045	-0.523040108560279	0
PGSC0003DMP400000047	0.0173445028410043	0
PGSC0003DMP400000046	0.0173445028410043	0
PGSC0003DMP400000048	0.0173445028410043	0
PGSC0003DMP400000065	-0.63280062083307	0
PGSC0003DMP400000067	-0.63280062083307	0
PGSC0003DMP400000064	-0.63280062083307	0
PGSC0003DMP400000066	-0.63280062083307	0
PGSC0003DMP400000068	4.04369148240535	1
PGSC0003DMP400000073	0.0111717391653575	0
PGSC0003DMP400000074	0.0111717391653575	0
PGSC0003DMP400000071	0.0111717391653575	0
PGSC0003DMP400000072	0.0111717391653575	0
PGSC0003DMP400000076	0.248616503951834	0
PGSC0003DMP400000078	0.495173789008875	0
PGSC0003DMP400000077	0.495173789008875	0
PGSC0003DMP400000084	-0.00247731722950515	0
PGSC0003DMP400000088	-0.00247731722950515	0
PGSC0003DMP400000083	-0.00247731722950515	0
PGSC0003DMP400000087	-0.00247731722950515	0
PGSC0003DMP400000086	-0.00247731722950515	0
PGSC0003DMP400000085	-0.00247731722950515	0
PGSC0003DMP400000089	1.07574295706693	0
PGSC0003DMP400000093	-0.624770615338104	0
PGSC0003DMP400000095	0.204002079034869	0
PGSC0003DMP400000097	0.00568890282396015	0
PGSC0003DMP400000098	0.00568890282396015	0
PGSC0003DMP400000100	0.00568890282396015	0
PGSC0003DMP400000096	0.00568890282396015	0
PGSC0003DMP400000099	0.00568890282396015	0
PGSC0003DMP400000101	0.10521733409959	0
PGSC0003DMP400000102	0.148576387664976	0
PGSC0003DMP400000106	-0.15386165212999	0
PGSC0003DMP400000104	-0.15386165212999	0
PGSC0003DMP400000105	-0.15386165212999	0
PGSC0003DMP400000107	0.096045672274024	0
PGSC0003DMP400000109	0.096045672274024	0
PGSC0003DMP400000108	0.096045672274024	0
PGSC0003DMP400000110	0.096045672274024	0
PGSC0003DMP400000112	-0.676565686589592	0
PGSC0003DMP400000113	-0.413334782533232	0
PGSC0003DMP400000114	-0.413334782533232	0
PGSC0003DMP400000115	0.0122175782730927	0
PGSC0003DMP400000117	-0.0361275059721125	0
PGSC0003DMP400000116	-0.0361275059721125	0
PGSC0003DMP400000118	-0.0361275059721125	0
PGSC0003DMP400000119	0.365819125037113	0
PGSC0003DMP400000120	0.365819125037113	0
PGSC0003DMP400000121	0.365819125037113	0
PGSC0003DMP400000122	0.365819125037113	0
PGSC0003DMP400000123	0.352765833947779	0
PGSC0003DMP400000124	0.352765833947779	0
PGSC0003DMP400000128	0.611049120808545	0
PGSC0003DMP400000130	0.394957762844245	0
PGSC0003DMP400000129	0.394957762844245	0
PGSC0003DMP400000131	0.394957762844245	0
PGSC0003DMP400000149	1.01330118554267	0
PGSC0003DMP400000151	-0.0621753632238212	0
PGSC0003DMP400000153	-0.665455787152356	0
PGSC0003DMP400000155	-0.665455787152356	0
PGSC0003DMP400000154	-0.665455787152356	0
PGSC0003DMP400000152	-0.665455787152356	0
PGSC0003DMP400000157	-0.0823728375744407	0
PGSC0003DMP400000156	-0.0823728375744407	0
PGSC0003DMP400000159	0.0547760296096758	0
PGSC0003DMP400000158	0.0547760296096758	0
PGSC0003DMP400000160	0.0547760296096758	0
PGSC0003DMP400000162	0.0457203957588229	0
PGSC0003DMP400000161	0.0457203957588229	0
PGSC0003DMP400000164	-0.107094270866728	0
PGSC0003DMP400000163	-0.107094270866728	0
PGSC0003DMP400000165	-0.0582148193191245	0
PGSC0003DMP400000166	-0.0539374098225164	0
PGSC0003DMP400000167	-0.424583405268209	0
PGSC0003DMP400000168	-0.323087002215989	0
PGSC0003DMP400000169	-0.323087002215989	0
PGSC0003DMP400000170	0.0104928563218149	0
PGSC0003DMP400000172	0.0104928563218149	0
PGSC0003DMP400000171	0.0104928563218149	0
PGSC0003DMP400000173	0.165765829156098	0
PGSC0003DMP400000176	0.0950579585057412	0
PGSC0003DMP400000175	0.0950579585057412	0
PGSC0003DMP400000181	-0.225692210129629	0
PGSC0003DMP400000183	-0.0201635122107599	0
PGSC0003DMP400000184	-0.0201635122107599	0
PGSC0003DMP400000185	-0.443923368162353	0
PGSC0003DMP400000187	-0.443923368162353	0
PGSC0003DMP400000186	-0.443923368162353	0
PGSC0003DMP400000188	-0.292793182870803	0
PGSC0003DMP400000190	0.0427538629582269	0
PGSC0003DMP400000189	0.0427538629582269	0
PGSC0003DMP400000194	-0.529243520984734	0
PGSC0003DMP400000195	-0.529243520984734	0
PGSC0003DMP400000197	0.108751622975601	0
PGSC0003DMP400000198	0.108751622975601	0
PGSC0003DMP400000196	0.108751622975601	0
PGSC0003DMP400000199	-0.049162697213777	0
PGSC0003DMP400000202	-0.0490709539072539	0
PGSC0003DMP400000201	-0.0490709539072539	0
PGSC0003DMP400000203	-0.211478095347221	0
PGSC0003DMP400000204	-0.192943028905986	0
PGSC0003DMP400000206	-0.192943028905986	0
PGSC0003DMP400000205	-0.192943028905986	0
PGSC0003DMP400000207	0.934078350335598	0
PGSC0003DMP400000210	-0.0294540665457362	0
PGSC0003DMP400000209	-0.0294540665457362	0
PGSC0003DMP400000211	-0.0294540665457362	0
PGSC0003DMP400000208	-0.0294540665457362	0
PGSC0003DMP400000212	0.0168827242870713	0
PGSC0003DMP400000222	-0.0222925785705344	0
PGSC0003DMP400000223	0.0237610070647995	0
PGSC0003DMP400000224	0.0237610070647995	0
PGSC0003DMP400000229	-0.664238872609103	0
PGSC0003DMP400000231	-0.664238872609103	0
PGSC0003DMP400000230	-0.664238872609103	0
PGSC0003DMP400000236	-0.0026762760220129	0
PGSC0003DMP400000242	-0.0323618141395918	0
PGSC0003DMP400000247	-0.933272027133603	-1
PGSC0003DMP400000243	-0.933272027133603	-1
PGSC0003DMP400000245	-0.933272027133603	-1
PGSC0003DMP400000246	-0.933272027133603	-1
PGSC0003DMP400000244	-0.933272027133603	-1
PGSC0003DMP400000251	1.09220247293472	0
PGSC0003DMP400000250	1.09220247293472	0
PGSC0003DMP400000252	0.152470068420693	0
PGSC0003DMP400000253	0.152470068420693	0
PGSC0003DMP400000255	0.160200239142132	0
PGSC0003DMP400000254	0.160200239142132	0
PGSC0003DMP400000256	0.0727489756570906	0
PGSC0003DMP400000257	-0.677789518345613	0
PGSC0003DMP400000263	0.0746235031365935	0
PGSC0003DMP400000262	0.0746235031365935	0
PGSC0003DMP400000261	0.0746235031365935	0
PGSC0003DMP400000264	0.179532466540646	0
PGSC0003DMP400000265	0.179532466540646	0
PGSC0003DMP400000266	0.47760641921654	0
PGSC0003DMP400000267	-1.30928267648683	0
PGSC0003DMP400000268	0.270885203593114	0
PGSC0003DMP400000269	0.495329627758377	0
PGSC0003DMP400000270	0.495329627758377	0
PGSC0003DMP400000271	0.242098839654001	0
PGSC0003DMP400000273	-0.209192190099753	0
PGSC0003DMP400000272	-0.209192190099753	0
PGSC0003DMP400000275	-0.352994424365448	0
PGSC0003DMP400000274	-0.352994424365448	0
PGSC0003DMP400000276	-0.00740574401440709	0
PGSC0003DMP400000277	-0.00740574401440709	0
PGSC0003DMP400000278	-0.0956441903334297	0
PGSC0003DMP400000279	-0.122209829036269	0
PGSC0003DMP400000281	-0.0204625992065234	0
PGSC0003DMP400000282	-0.0204625992065234	0
PGSC0003DMP400000280	-0.0204625992065234	0
PGSC0003DMP400000283	-0.0204625992065234	0
PGSC0003DMP400000285	0.444418666233365	0
PGSC0003DMP400000286	0.444418666233365	0
PGSC0003DMP400000290	0.444418666233365	0
PGSC0003DMP400000288	0.444418666233365	0
PGSC0003DMP400000287	0.444418666233365	0
PGSC0003DMP400000284	0.444418666233365	0
PGSC0003DMP400000289	0.444418666233365	0
PGSC0003DMP400000291	0.103566299327024	0
