"sample_number"	"sample_name"	"trial_number"	"trial_name"	"cultivation"	"cultivar"	"condition"	"tolerance"	"libsize_raw"	"libsize_mapped"	"trial"	"cultivar_condition"	"cultivation_condition"	"tolerance_condition"	"cultivation_cultivar"	"cultivation_tolerance"	"trial_name_cultivar"
"16"	16	"t02_s_d"	2	"JKI-GWH1"	"greenhouse"	"Saturna"	"drought stress"	"tolerant"	12342816	10098348	"greenhouse_1"	"Saturna.drought stress"	"greenhouse.drought stress"	"tolerant.drought stress"	"greenhouse.Saturna"	"greenhouse.tolerant"	"JKI-GWH1.Saturna"
"17"	17	"t03_a_c"	3	"MPITest1.2"	"greenhouse"	"Alegria"	"control"	"sensitive"	12255400	10198255	"greenhouse_2"	"Alegria.control"	"greenhouse.control"	"sensitive.control"	"greenhouse.Alegria"	"greenhouse.sensitive"	"MPITest1.2.Alegria"
"18"	18	"t03_d_c"	3	"MPITest1.2"	"greenhouse"	"Desiree"	"control"	"tolerant"	12285214	10268355	"greenhouse_2"	"Desiree.control"	"greenhouse.control"	"tolerant.control"	"greenhouse.Desiree"	"greenhouse.tolerant"	"MPITest1.2.Desiree"
"19"	19	"t03_m_c"	3	"MPITest1.2"	"greenhouse"	"Milva"	"control"	"sensitive"	12470075	10347211	"greenhouse_2"	"Milva.control"	"greenhouse.control"	"sensitive.control"	"greenhouse.Milva"	"greenhouse.sensitive"	"MPITest1.2.Milva"
"20"	20	"t03_s_c"	3	"MPITest1.2"	"greenhouse"	"Saturna"	"control"	"tolerant"	11669434	9678713	"greenhouse_2"	"Saturna.control"	"greenhouse.control"	"tolerant.control"	"greenhouse.Saturna"	"greenhouse.tolerant"	"MPITest1.2.Saturna"
"21"	21	"t03_a_d"	3	"MPITest1.2"	"greenhouse"	"Alegria"	"drought stress"	"sensitive"	11625726	9800951	"greenhouse_2"	"Alegria.drought stress"	"greenhouse.drought stress"	"sensitive.drought stress"	"greenhouse.Alegria"	"greenhouse.sensitive"	"MPITest1.2.Alegria"
"22"	22	"t03_d_d"	3	"MPITest1.2"	"greenhouse"	"Desiree"	"drought stress"	"tolerant"	11784131	9874419	"greenhouse_2"	"Desiree.drought stress"	"greenhouse.drought stress"	"tolerant.drought stress"	"greenhouse.Desiree"	"greenhouse.tolerant"	"MPITest1.2.Desiree"
"23"	23	"t03_m_d"	3	"MPITest1.2"	"greenhouse"	"Milva"	"drought stress"	"sensitive"	12462653	10311058	"greenhouse_2"	"Milva.drought stress"	"greenhouse.drought stress"	"sensitive.drought stress"	"greenhouse.Milva"	"greenhouse.sensitive"	"MPITest1.2.Milva"
"24"	24	"t03_s_d"	3	"MPITest1.2"	"greenhouse"	"Saturna"	"drought stress"	"tolerant"	12170236	10069960	"greenhouse_2"	"Saturna.drought stress"	"greenhouse.drought stress"	"tolerant.drought stress"	"greenhouse.Saturna"	"greenhouse.tolerant"	"MPITest1.2.Saturna"
"25"	25	"t04_a_c"	4	"MPITest2"	"greenhouse"	"Alegria"	"control"	"sensitive"	11812052	9756917	"greenhouse_3"	"Alegria.control"	"greenhouse.control"	"sensitive.control"	"greenhouse.Alegria"	"greenhouse.sensitive"	"MPITest2.Alegria"
"26"	26	"t04_d_c"	4	"MPITest2"	"greenhouse"	"Desiree"	"control"	"tolerant"	12199070	10189411	"greenhouse_3"	"Desiree.control"	"greenhouse.control"	"tolerant.control"	"greenhouse.Desiree"	"greenhouse.tolerant"	"MPITest2.Desiree"
"27"	27	"t04_m_c"	4	"MPITest2"	"greenhouse"	"Milva"	"control"	"sensitive"	12282323	10260882	"greenhouse_3"	"Milva.control"	"greenhouse.control"	"sensitive.control"	"greenhouse.Milva"	"greenhouse.sensitive"	"MPITest2.Milva"
"28"	28	"t04_s_c"	4	"MPITest2"	"greenhouse"	"Saturna"	"control"	"tolerant"	11982641	9822040	"greenhouse_3"	"Saturna.control"	"greenhouse.control"	"tolerant.control"	"greenhouse.Saturna"	"greenhouse.tolerant"	"MPITest2.Saturna"
"29"	29	"t04_a_d"	4	"MPITest2"	"greenhouse"	"Alegria"	"drought stress"	"sensitive"	12067964	10021106	"greenhouse_3"	"Alegria.drought stress"	"greenhouse.drought stress"	"sensitive.drought stress"	"greenhouse.Alegria"	"greenhouse.sensitive"	"MPITest2.Alegria"
"30"	30	"t04_d_d"	4	"MPITest2"	"greenhouse"	"Desiree"	"drought stress"	"tolerant"	11742997	9776262	"greenhouse_3"	"Desiree.drought stress"	"greenhouse.drought stress"	"tolerant.drought stress"	"greenhouse.Desiree"	"greenhouse.tolerant"	"MPITest2.Desiree"
"31"	31	"t04_m_d"	4	"MPITest2"	"greenhouse"	"Milva"	"drought stress"	"sensitive"	12353727	10290522	"greenhouse_3"	"Milva.drought stress"	"greenhouse.drought stress"	"sensitive.drought stress"	"greenhouse.Milva"	"greenhouse.sensitive"	"MPITest2.Milva"
"32"	32	"t04_s_d"	4	"MPITest2"	"greenhouse"	"Saturna"	"drought stress"	"tolerant"	12216392	10178034	"greenhouse_3"	"Saturna.drought stress"	"greenhouse.drought stress"	"tolerant.drought stress"	"greenhouse.Saturna"	"greenhouse.tolerant"	"MPITest2.Saturna"
"33"	33	"t05_a_c"	5	"JKIFeld2012"	"field"	"Alegria"	"control"	"sensitive"	21221483	16179843	"field_2"	"Alegria.control"	"field.control"	"sensitive.control"	"field.Alegria"	"field.sensitive"	"JKIFeld2012.Alegria"
"34"	34	"t05_d_c"	5	"JKIFeld2012"	"field"	"Desiree"	"control"	"tolerant"	18141174	15294292	"field_2"	"Desiree.control"	"field.control"	"tolerant.control"	"field.Desiree"	"field.tolerant"	"JKIFeld2012.Desiree"
"35"	35	"t05_m_c"	5	"JKIFeld2012"	"field"	"Milva"	"control"	"sensitive"	18748087	15758534	"field_2"	"Milva.control"	"field.control"	"sensitive.control"	"field.Milva"	"field.sensitive"	"JKIFeld2012.Milva"
"36"	36	"t05_s_c"	5	"JKIFeld2012"	"field"	"Saturna"	"control"	"tolerant"	20200294	16967343	"field_2"	"Saturna.control"	"field.control"	"tolerant.control"	"field.Saturna"	"field.tolerant"	"JKIFeld2012.Saturna"
"37"	37	"t05_a_d"	5	"JKIFeld2012"	"field"	"Alegria"	"drought stress"	"sensitive"	22057484	17561028	"field_2"	"Alegria.drought stress"	"field.drought stress"	"sensitive.drought stress"	"field.Alegria"	"field.sensitive"	"JKIFeld2012.Alegria"
"38"	38	"t05_d_d"	5	"JKIFeld2012"	"field"	"Desiree"	"drought stress"	"tolerant"	19026246	15621340	"field_2"	"Desiree.drought stress"	"field.drought stress"	"tolerant.drought stress"	"field.Desiree"	"field.tolerant"	"JKIFeld2012.Desiree"
"39"	39	"t05_m_d"	5	"JKIFeld2012"	"field"	"Milva"	"drought stress"	"sensitive"	18367098	15148756	"field_2"	"Milva.drought stress"	"field.drought stress"	"sensitive.drought stress"	"field.Milva"	"field.sensitive"	"JKIFeld2012.Milva"
"40"	40	"t05_s_d"	5	"JKIFeld2012"	"field"	"Saturna"	"drought stress"	"tolerant"	20302847	16513184	"field_2"	"Saturna.drought stress"	"field.drought stress"	"tolerant.drought stress"	"field.Saturna"	"field.tolerant"	"JKIFeld2012.Saturna"
"41"	41	"t06_a_c"	6	"MPIFeld2012"	"field"	"Alegria"	"control"	"sensitive"	19742474	16075381	"field_3"	"Alegria.control"	"field.control"	"sensitive.control"	"field.Alegria"	"field.sensitive"	"MPIFeld2012.Alegria"
"42"	42	"t06_d_c"	6	"MPIFeld2012"	"field"	"Desiree"	"control"	"tolerant"	19863047	16599721	"field_3"	"Desiree.control"	"field.control"	"tolerant.control"	"field.Desiree"	"field.tolerant"	"MPIFeld2012.Desiree"
"43"	43	"t06_m_c"	6	"MPIFeld2012"	"field"	"Milva"	"control"	"sensitive"	17232869	14300051	"field_3"	"Milva.control"	"field.control"	"sensitive.control"	"field.Milva"	"field.sensitive"	"MPIFeld2012.Milva"
"44"	44	"t06_s_c"	6	"MPIFeld2012"	"field"	"Saturna"	"control"	"tolerant"	19673398	16407732	"field_3"	"Saturna.control"	"field.control"	"tolerant.control"	"field.Saturna"	"field.tolerant"	"MPIFeld2012.Saturna"
"45"	45	"t06_a_d"	6	"MPIFeld2012"	"field"	"Alegria"	"drought stress"	"sensitive"	19790599	15500307	"field_3"	"Alegria.drought stress"	"field.drought stress"	"sensitive.drought stress"	"field.Alegria"	"field.sensitive"	"MPIFeld2012.Alegria"
"46"	46	"t06_d_d"	6	"MPIFeld2012"	"field"	"Desiree"	"drought stress"	"tolerant"	19272906	15798290	"field_3"	"Desiree.drought stress"	"field.drought stress"	"tolerant.drought stress"	"field.Desiree"	"field.tolerant"	"MPIFeld2012.Desiree"
"47"	47	"t06_m_d"	6	"MPIFeld2012"	"field"	"Milva"	"drought stress"	"sensitive"	17343630	14385334	"field_3"	"Milva.drought stress"	"field.drought stress"	"sensitive.drought stress"	"field.Milva"	"field.sensitive"	"MPIFeld2012.Milva"
"48"	48	"t06_s_d"	6	"MPIFeld2012"	"field"	"Saturna"	"drought stress"	"tolerant"	15819457	13202794	"field_3"	"Saturna.drought stress"	"field.drought stress"	"tolerant.drought stress"	"field.Saturna"	"field.tolerant"	"MPIFeld2012.Saturna"
