"logFC"	"logCPM"	"PValue"	"FDR"
"PGSC0003DMG400000079"	2.08406646270199	9.4213878803692	1.04853457503717e-08	2.25836871886757e-05
"PGSC0003DMG400000110"	1.01208005226254	6.58372385655683	3.40140043290574e-05	0.00564262512417192
"PGSC0003DMG400000248"	3.01156574752414	4.08769756035338	1.10688195670649e-06	0.000596009813604916
"PGSC0003DMG400000350"	1.81196479304853	3.24903629053552	1.2625876017959e-13	3.26328391560167e-09
"PGSC0003DMG400000379"	-0.508220923334724	5.49953973778878	0.000161697902963971	0.017486376569066
"PGSC0003DMG400000444"	2.13360065151374	5.88698746770372	5.34363577000142e-07	0.000431598781598302
"PGSC0003DMG400000491"	0.904062428083296	5.5058229595747	0.000116166577355458	0.0135857075037519
"PGSC0003DMG400000513"	1.38845365159699	2.08031849237183	0.000453281012227751	0.0341450101594756
"PGSC0003DMG400000584"	-0.789759641766754	7.1966477474825	3.58261422692485e-06	0.00132280353298714
"PGSC0003DMG400000718"	0.882240173470225	5.58079280847354	1.81654868344723e-05	0.00375604138179018
"PGSC0003DMG400000811"	-1.08290251495702	4.37104028697775	8.97334286861135e-07	0.000527102317686657
"PGSC0003DMG400000985"	1.41948502791193	4.33640085963428	0.000126431462491554	0.0145832143542362
"PGSC0003DMG400001181"	1.50019778602782	3.25406680937768	2.2907299351553e-05	0.00436607486096985
"PGSC0003DMG400001182"	0.561961461769784	4.73765033678515	0.000105469285434195	0.0128387424500257
"PGSC0003DMG400001203"	1.50118117854175	1.62448885120651	0.000394619760556828	0.0309070979737933
"PGSC0003DMG400001390"	0.751958622657305	2.18314948459156	0.000178267308658314	0.0182366078090188
"PGSC0003DMG400001416"	1.83838257258241	-0.354488241135243	2.4628980594044e-05	0.00451461441442314
"PGSC0003DMG400001434"	-1.07488898083129	5.3016090531042	1.2396495515191e-07	0.000152571344326489
"PGSC0003DMG400001518"	1.45626966400871	3.47207951979585	4.58601976043093e-05	0.00705537301952964
"PGSC0003DMG400001621"	1.63183468569431	1.28688626168928	0.000372360512844467	0.0296123994307018
"PGSC0003DMG400001649"	-2.57084906368913	-1.6637688434446	5.23104172313157e-05	0.00786055258000341
"PGSC0003DMG400001774"	-1.9148641645616	1.42706058816855	7.74254947027466e-09	1.81921757826108e-05
"PGSC0003DMG400001999"	-0.816676319660558	2.66500990147884	5.50742667960276e-05	0.0080322149560656
"PGSC0003DMG400002073"	-0.95877724438242	1.28148269462532	0.000562343550857949	0.0385407955107622
"PGSC0003DMG400002261"	-1.02256330925412	2.9593022623238	0.000206816984530848	0.0200201939407652
"PGSC0003DMG400002296"	1.00610798510076	0.76958486378381	0.000778225911434949	0.0459224358606112
"PGSC0003DMG400002312"	2.93616734297686	2.05564164992758	2.93110691681296e-05	0.00515356390285358
"PGSC0003DMG400002344"	2.02692617428377	-0.0486241815463538	5.78001471992549e-05	0.00825360554978974
"PGSC0003DMG400002526"	-0.522265643532589	4.09222429973072	0.000700675641995377	0.0440576463770266
"PGSC0003DMG400002562"	-1.03595419931866	3.66703443598221	6.61997092298878e-05	0.00905520112364526
"PGSC0003DMG400002620"	-0.983631472768575	1.81825945103095	0.000230967365588322	0.0215508394620786
"PGSC0003DMG400002724"	2.95008347735655	2.34495251386478	3.33222149073099e-06	0.00126653818602108
"PGSC0003DMG400002733"	1.10134255788922	0.58812325494826	0.000505054555709602	0.0361596677198625
"PGSC0003DMG400002808"	-1.23703049986372	0.727994611758178	0.000249473301586946	0.0228648473504121
"PGSC0003DMG400002928"	2.16482346320146	2.4840403483192	0.000205257566833394	0.0200191964995317
"PGSC0003DMG400002987"	2.41184937591524	4.19434246695489	1.49106554274679e-07	0.00016057533340764
"PGSC0003DMG400003084"	2.10022293768604	3.85010555381369	0.000368403873363307	0.0294791532846689
"PGSC0003DMG400003102"	-0.570694526140251	5.28025308930969	2.29740068518107e-05	0.00436607486096985
"PGSC0003DMG400003218"	0.695444901304955	5.50735258597814	0.000594532569443637	0.0400163770568756
"PGSC0003DMG400003219"	5.54494965538275	2.81672147316542	1.78593383683352e-09	9.06423928519533e-06
"PGSC0003DMG400003423"	0.624821313029806	2.77467088085332	0.000382918514843922	0.0300817991934833
"PGSC0003DMG400003521"	0.847507391847254	5.63859773330416	8.48808912508997e-05	0.0110242789712098
